Название теста,Кол-во прогонов,Длительность_среднее,Длительность_дисперсия,Длительность_ДИ_нижн,Длительность_ДИ_верхн,ОЗУ_среднее,ОЗУ_дисперсия,ОЗУ_ДИ_нижн,ОЗУ_ДИ_верхн,CPU_User_среднее_%,CPU_User_дисперсия,CPU_User_ДИ_нижн_%,CPU_User_ДИ_верхн_%,CPU_System_среднее_%,CPU_System_дисперсия,CPU_System_ДИ_нижн_%,CPU_System_ДИ_верхн_%
Add a visit to a pet,25,1991.36,184524.74000000002,1822.9711356194834,2159.7488643805164,29.123199999999997,0.709231,28.793073853831597,29.453326146168397,0,0,0,0,0,0,0,0
Visit with empty description shows error,25,461.16,2675.723333333334,440.88286138792427,481.4371386120758,34.506,0.6905583333333328,34.1802486289617,34.8317513710383,0,0,0,0,0,0,0,0
Add multiple visits,25,1205.16,17143.390000000003,1153.8343545490172,1256.485645450983,35.9384,1.610714,35.44089748131693,36.43590251868307,0,0,0,0,0,0,0,0
Trigger exception page,25,350.84,2550.306666666667,331.0437800672283,370.63621993277167,38.248,1.6136750000000013,37.75004040806507,38.74595959193493,0,0,0,0,0,0,0,0
Non-existent owner,25,362,6011.333333333333,331.6071468049916,392.3928531950084,39.142799999999994,7.028712666666667,38.10354059869026,40.18205940130973,0,0,0,0,0,0,0,0
Create new owner - valid,25,489.64,1095.3233333333333,476.66649759342783,502.61350240657214,36.6464,15.452182333333333,35.105476852640166,38.187323147359834,0,0,0,0,0,0,0,0
Find owners by last name – multiple results,25,471.4,5865.833333333332,441.3772184277783,501.42278157222165,36.93000000000001,1.9032500000000017,36.389203357998596,37.47079664200142,0,0,0,0,0,0,0,0
Find owners by last name - single result,25,462.2,1476.666666666667,447.1364510600368,477.2635489399632,37.924,3.0119833333333332,37.243681393071356,38.60431860692864,0,0,0,0,0,0,0,0
Find owners – no results,25,444.28,1133.9599999999998,431.079665555752,457.48033444424794,31.5956,4.852709,30.73206848593928,32.45913151406072,0,0,0,0,0,0,0,0
Edit owner address successfully,25,521.96,12434.873333333335,478.2473888232088,565.6726111767913,36.680400000000006,1.4488539999999988,36.20855606281738,37.15224393718263,0,0,0,0,0,0,0,0
Telephone validation with multiple incorrect formats,25,1015.36,13792.573333333332,969.322819496701,1061.397180503299,37.03559999999999,1.641325666666666,36.53339220710678,37.5378077928932,0,0,0,0,0,0,0,0
Add a new pet to existing owner,25,498.92,2295.1600000000003,480.1401313572219,517.6998686427781,32.7452,3.107234333333332,32.05420791857118,33.436192081428814,0,0,0,0,0,0,0,0
Duplicate pet name validation,25,486.64,4209.656666666667,461.2063081321907,512.0736918678092,38.72599999999999,1.1552916666666675,38.304660779576984,39.147339220423,0,0,0,0,0,0,0,0
Birth date in future is rejected,25,506.72,12365.293333333337,463.12985851395604,550.310141486044,38.955999999999996,1.1522500000000009,38.53521579877566,39.37678420122433,0,0,0,0,0,0,0,0
Validate pet creation requires name,25,454.28,1448.2933333333337,439.36187187434916,469.1981281256508,35.238800000000005,1.3598610000000013,34.78167673357835,35.69592326642166,0,0,0,0,0,0,0,0
Validate pet creation requires birth date,25,443.52,339.42666666666673,436.297974016478,450.74202598352196,41.2072,1.4003459999999992,40.74332203356486,41.67107796643514,0,0,0,0,0,0,0,0
Edit pet name successfully,25,479.08,1393.243333333333,464.4481394356926,493.71186056430736,41.09479999999999,5.266775999999999,40.195181265610806,41.99441873438918,0,0,0,0,0,0,0,0
View vets as HTML with loop,25,345.8,5870.249999999999,315.76591775998475,375.8340822400153,31.764400000000002,1.5293506666666665,31.27962568050415,32.24917431949586,0,0,0,0,0,0,0,0
Итогово:,25,10990.32,485135.39333333325,10717.285487380856,11263.354512619144,36.30571111111111,0.5104974670781907,36.02563061771483,36.585791604507385,NaN,0,0,0,NaN,0,0,0